link|block
У Полтаві після двох місяців коми, помер 15-річний Артем Левченко. 6 листопада в самому середмісті підлітка збив позашляховик, за кермом якого сиділа 34-річна власниця ресторанного бізнесу.Жінка досі не затримана і жодної підозри їй не вручено. Містяни бояться, що вона взагалі уникне кари і тому сьогодні перекрили дорожній рух у центрі Полтави, пише ТСН.&nbsp;Із самого ранку на місце загибелі 15-річного Артема Левченка полтавці несуть живі квіти, м&rsquo;які іграшки та запалюють свічки.&nbsp;Читайте також: У ДТП загинув 11-річний син українського дипломатаДва місяці тому, за словами свідків, на пішохідному переході в самому центрі Полтави Мерседес-позашляховик на великій швидкості збив підлітка, який йшов переходом із велосипедом. Удар був такої сили, що в машини зім&rsquo;яло крило та розтрощило лобове скло.&nbsp;Артема збила Наталя Саєнко - власниця кількох відомих у Полтаві ресторанів. Поки медики надавали хлопчику першу допомогу, водійка разом із чоловіком, який приїхав на місце ДТП, скручували номерні знаки та видаляли відео з реєстратора. За всім цим, кажуть полтавці, спокійно спостерігав місцевий прокурор. Камери зовнішнього відеоспостереження в цей день не працювали і родичі загиблого не вважають це збігом обставин.&laquo;Чоловік водія на місці злочину забрав відеореєстратор, кудись відвіз, привіз назад порожній&raquo;, - розповідають рідні юнака.читайте також: Лавров пов'язує головну загрозу Росії із законом про УкраїнуДва місяці Артем провів у глибокій комі на апаратах штучної підтримки життя. Наталя Саєнко в цей час і далі кермувала іншим автомобілем. Водійське посвідчення в неї не забрали, жодної підозри не вручили. Рідні Артема та місцеві жителі бояться, що гроші та родинні зв&rsquo;язки врятують рестораторку від покарання. Вимагаючи прозорого розслідування, обурені містяни перекрили рух транспорту в центрі Полтави.&nbsp;Телефон Саєнко не відповідає. Місяць тому ТСН вдалося з нею зв&rsquo;язатися, утім коментар водійки був стислим, вона заперечувала свою провину.Артем помер на Різдво, так і не отямившись. Після цього справу перекваліфікували.&laquo;Стаття 286, ч 2 &ndash; ДТП, що спричинило смерть потерпілого. Зараз тривають відповідні криміналістичні експертизи. Я вас запевняю, що сьогодні, можливо завтра максимум, буде ухвалене&nbsp; рішення щодо притягнення винної особи до кримінальної відповідальності&raquo;, - зазначили в поліції.Полтава прощатиметься з хлопчиком завтра. Артем Левченко був єдиним сином та онуком у родині. За день до трагедії, згадують батьки, він повідомив їм, що вирішив стати лікарем.&nbsp;|10
"Про це на брифінгу після спільного богослужіння розповіли архієпископ Чернівецький і Кіцманський Онуфрій та архієпископ Буковинський і Хотинський Герман, повідомляє ""Укрінформ"".""У багатьох румунських засобах масової інформації ще перед Об&rsquo;єднавчим собором розповідали, що буцімто буде суцільна українізація церкви, а наша область, як відомо, багатонаціональна. Таким чином лякали румуномовне населення Буковини, що нібито зараз українці прийдуть і заберуть вашу мову, ваші традиції тощо. Але це неправда. Наша церква відкрита абсолютно для всіх, незалежно від того, хто якою мовою розмовляє чи якою мовою хоче звершувати богослужіння"", &ndash; сказав архієпископ Буковинський і Хотинський Герман.Церковник навів приклад однієї з перших буковинських громад, які вирішили перейти від Московського патріархату до ПЦУ та яким залишили церковнослов&rsquo;янську мову богослужіння.читайте також: Лавров пов'язує головну загрозу Росії із законом про Україну&nbsp;""Ось, наприклад, парафія села Шишківці Кіцманського району. Після переходу до єдиної української церкви люди попросили залишити церковнослов&rsquo;янську мову у богослужінні. Вони до неї звикли, то чому ми маємо бути проти? Запитали у блаженнішого митрополита Епіфанія, він також підтримав це рішення, я благословив, і залишили там церковнослов&rsquo;янську мову. Так само і з румуномовними селами нашої області. Якщо люди захочуть, то залишать румунську мову богослужіння, якщо захочуть - перейдуть на українську. Ніщо не повинно бути перешкодою для об&rsquo;єднання"", &ndash; додав архієпископ.Нагадаємо, Філаретові присвоєно звання ""Героя України""."|11
"У США представили новий автономний спосіб доставки посилок або їжі - безпілотні авто будуть розвозити роботів-собак, а ті виконуватимуть, власне, роль кур'єра. Про це у вівторок, 8 січня, повідомляє&nbsp;TechCrunch.&nbsp;Зазначено, що технологію, яка в найближчі роки може стати буденною, представила компанія Continental на виставці споживчої електроніки CES у Лас-Вегасі, передає Кореспондент.&nbsp;
Читайте також: У Баку запустять пасажирські автобуси-безпілотники&nbsp;Зокрема, проект передбачає, що безпілотник CUbE (Continental Urban Mobility Experience) буде привозити робота-собаку куди необхідно, а той буде добиратися до одержувача.
У компанії вважають, що така технологія дуже ефективна і може кардинально змінити сферу доставки.читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше години"|12
"Відповідну інформацію оприлюднено у списку справ, призначених до розгляду у суді.
""Обвинувачений: Горбенко Володимир Миколайович. Суть позову: Порушення порядку в'їзду на тимчасово окуповану територію України та виїзду з неї"", - зазначається на сайті суду.
Справу розглядатиме суддя Сергій Родіонов.
Зазначається, судове засідання призначене на 10 січня о 16:30.
Нагадаємо, кримське судно&nbsp;Норд передали Агентству з розшуку активів.читайте також: Лавров пов'язує головну загрозу Росії із законом про Україну"|13
"Йому загрожує довічне ув'язнення.
Про це повідомив заступник голови Нацполіції В'ячеслав Аброськін за результатами зустрічі з Хаканом Сирали, радником Посольства Туреччини в Україні з питань внутрішніх справ.
Нагадаємо, 3 січня поліція повідомила, що виявила у квартирі Харкова&nbsp;тіла двох 20-річних іноземних студенток&nbsp;з ознаками насильницької смерті.читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше години"|14
"Напередодні різдва в&nbsp;ДТП на Тернопільщині неподалік селища Добре поле загинув 11-річний син співробітника посольства України в Туреччині Павла Процюка. Про це повідомили на сторінці посольства.&nbsp;Трагедія сталася 4 січня - позашляховик зіштовхнувся з фурою. Водій авто, Валерій Мельницкий, який підвозив хлопчика разом зі своїм сином, також загинув&nbsp;на місці.&nbsp;Колектив посольства України в Туреччині висловив глибокі співчуття своему співробітникові - батькові хлопця.Читайте також: У ДТП на Львівщині загинула дитина, ще шестеро&nbsp;людей - у лікарнічитайте також: Знайшли мертвим батька відомого футболіста""Спочивай з миром, ангелику Михайлику. Ти назавжди залишишся в нашій памяті красивим, життєрадісним, щирим, відкритим 11-річним хлопчиком"", - написали на сторінці посольства.Загиблий хлопчик - був воротарем юнацької футбольної команди, команди,&nbsp;мріяв про спортивну кар'єру.""Михайлик сидів попереду. Він був високого зросту, тому вже мав право зайняти сусіднє з водієм сидіння...&nbsp;Син (водія - Ред.) і ще один хлопчик сиділи ззаду, на момент аварії саме спали. Слава Богу, що вони залишилися живі"", - сказав тренер хлопчика Роман Курдупель."|15
"Про це повідомляє прес-центр штабу ООС.
""Опорні пункти наших військ були обстріляні з гранатометів різних систем та стрілецької зброї поблизу селища Новотошківське на Луганському напрямку. Внаслідок обстрілів російсько-окупаційних військ жоден військовослужбовець Об'єднаних сил не постраждав"", - йдеться в повідомленні.
Водночас, незважаючи на погіршення погодних умов, українські військові продовжують надійно контролювати дії противника на лінії зіткнення, дотримуючись при цьому умов припинення вогню.
Ситуація в районі проведення ООС залишається під контролем українських військових.
Нагадаємо, Папа Римський стурбований війною на Донбасі.читайте також: Перемога над підлістю: шашкіст, якого Росія дискваліфікувала за вишиванку, став чемпіоном світу"|16
"Новоайдарський районний суд Луганської області заочно засудив до шести років позбавлення волі священика УПЦ МП за пособництво сепаратистам. Про це повідомляє прес-центр Служби безпеки України у вівторок, 8 січня.Під час розслідування було встановлено, що у квітні 2014 року настоятель одного з храмів Новоайдарського району приєднався до лав сепаратистів. На чолі групи антиукраїнсько налаштованих осіб він організував блокування автодороги до Луганська, перешкоджаючи переміщенню сил і засобів Збройних сил України в район проведення Антитерористичної операції.читайте також: Лавров пов'язує головну загрозу Росії із законом про УкраїнуЧитайте також: Екс-керівника Миколаївського аеропорту засудили до 4 років умовно&nbsp;Вирок набув законної сили, початок терміну виконання покарання буде обчислюватися з дня його затримання. Засуджений оголошений у розшук.&nbsp;Раніше в Слов'янську Донецької області виявили і&nbsp;затримали п'ятьох чоловіків, які, за даними правоохоронців, ""сприяли військовій агресії та захопленню українських міст"" сепаратистами."|17
Про це йдеться в останньому аналітичному звіті Фонду, текст якої Укрінформ отримав у своє розпорядження.Зокрема, у графіку запланованих переглядів виконання Україною умов програми, після яких Виконавча рада Фонду приймає рішення про виділення наступного траншу, вказані три дати. Перша &ndash; 18 грудня 2018 року, коли нова програма Stand By для України була затверджена керівництвом Фонду з рішенням виділити $1,4 млрд в якості першого траншу.Виділення другого й третього кредитів за програмою передбачені після завершення переглядів МВФ, спланованих, відповідно, на 15 травня та на 15 листопада 2019 року. Суми спланованих траншів рівнозначні &ndash; по $1,3 млрд.читайте також: Слідство встановило організаторів і замовників вбивства ГандзюкНагадаємо, 18 грудня Виконавча рада&nbsp;МВФ&nbsp;затвердила нову 14-місячну програму кредитування Stand-by (SBA) для України на загальну суму 3,9 млрд. доларів США. При цьому, було прийняте також рішення про дострокове завершення програми розширеного фінансування EFF для України.Нагадаємо, МВФ застеріг Україну від популізму на виборах.|18
"До чергової частини Покровського відділу поліції із заявою звернулась мешканка місцева мешканка, яка поскаржилась на те, що її ошукали невідомі.&nbsp;З&rsquo;ясувалось, що жінці зателефонував незнайомець, назвався слідчим і повідомив, що її син когось побив, і&nbsp;зараз знаходиться у поліцейському відділку. Про це повідомив Покровський відділ поліції в Донецькій області.Зловмисник, який представився слідчим,&nbsp;по телефону сказав жінці, що вона має передати йому гроші через посередника, якщо вона не хоче, щоб її син сів у тюрму.Читайте також: Суд виніс вирок шахрайці, яка виманила понад шість мільйонів гривеньчитайте також: У Міністерстві культури розповіли, яка доля чекає Почаївську лавруПотерпіла віддала ""посереднику"" всі свої заощадження -&nbsp;&nbsp;100 тисяч гривень та 5 тисяч доларів США. Згодом жінці зателефонував син - вона почала розпитувати його, чи все владнали зі ""слідчим"", хлопець відповів їй, що вперше про це чує.За даним фактом поліція розпочала кримінальне провадження за ст. 190 ""шахрайство""&nbsp;ККУ. Наразі поліцейські встановлюють особу зловмисника.&nbsp;Псевдо-копу загрожує тюремне ув'язнення терміном на 3 роки."|19
"Про це Українським Новинам повідомив спікер Нацполіції Ярослав Тракало.
""Були виявлені 159 нетверезих водіїв"", - сказав він.
За його словами, 7 січня відбулося 535 дорожньо-транспортних пригод (ДТП), з них 48 ДТП з потерпілими, загинули 5 осіб, а травми отримали 57.
Читайте також: На водіїв накладено штрафів щонайменше на 4 млн грн
Нагадаємо, на Різдво&nbsp;17 осіб загинули та 6 постраждали в побутових пожежах.читайте також: Лавров пов'язує головну загрозу Росії із законом про Україну"|20
"Про це повідомив у Тwitter&nbsp;посол України в Туреччині Андрій Сибіга.
""Турецькі рятувальники в надзвичайно складних погодних умовах знайшли ще 2 тіла загиблих-найближчі години буде проведено процедуру опізнання.Консул на місці в Самсуні працює"", -&nbsp; написав він у соцмережі.Турецькі рятувальники в надзвичайно складних погодних умовах знайшли ще 2 тіла загиблих-найближчі години буде проведено процедуру опізнання.Консул на місці в Самсуні працює
&mdash; Andrii Sybiha ?? (@andrii_sybiha) January 8, 2019Нагадаємо, поблизу Туреччини затонуло вантажне судно з українцями на борту
Як повідомлялося раніше, судно, що зазнало аварії в Чорному морі, перевозило контрабандне вугілля із ОРДЛО.читайте також: Українців чекає аномально тепла зима: прогноз на два місяці"|21
&laquo;Відсторонення Міністерства від контролю за діяльністю підпорядкованих організацій та підприємств призвело до&nbsp;не раціонального використання бюджетних коштів на суму&nbsp;&nbsp;43,31 мільйона гривень&raquo;, &mdash; повідомляють в Держаудитслужбі.Зокрема, там вважають, що через невизначеність статусу державного інформаційного агентства &laquo;Укрінформ&raquo;, міністерство надало йому 42,97 мільйона гривень, які надалі повернулись до бюджету у вигляді податку на прибуток.Читайте також: Держкіно неефективно витрачає бюджетні грошічитайте також: У Міністерстві культури розповіли, яка доля чекає Почаївську лавруВодночас, за підсумками аудиту виявили нецільове використання 5,1 мільйона гривень &mdash; кошти, які Мінінформполітики заплатило за поширення суспільно-важливої інформації третім особам, які ці особи надалі використовували у власних цілях.&laquo;Крім того, прийняття міністерством управлінських рішень щодо використання у 2015-2018 роках бюджетних коштів у сумі&nbsp;&nbsp;29,95 мільйона&nbsp;гривень&nbsp;на створення відеопродукції&hellip; без наявності шляхів її розповсюдження через засоби масової інформації надалі має ризик неефективного використання цих коштів&raquo;, &mdash; додали аудитори.|22
